make,sellingprice
Rolls-Royce,153488.23529411765
Ferrari,127210.52631578948
Lamborghini,112625.0
Bentley,74367.6724137931
airstream,71000.0
Tesla,67054.34782608696
Aston Martin,54812.0
Fisker,46461.11111111111
Maserati,45320.3007518797
Lotus,40800.0
